,baserunning,batting,color,day,defense,emoji,pitching,season,team
135,2.444444444,2.055555556,#178f55,105,2.444444444,🍬,1.6,2,Breath Mints
136,2.166666667,2.777777778,#5c1c1c,105,2.666666667,🐅,2.4,2,Tigers
137,2.055555556,2.388888889,#67556b,105,2.722222222,🕵,1.2,2,Spies
138,2.333333333,2.0,#d15700,105,2.722222222,🍗,2.3,2,Wild Wings
139,2.333333333,2.111111111,#593037,105,2.888888889,🦀,2.8,2,Crabs
140,2.444444444,2.0,#64376e,106,2.722222222,🌮,1.2,2,Tacos
141,2.0,2.277777778,#9141ba,106,2.388888889,🚤,2.4,2,Dale
142,2.333333333,2.666666667,#f7d1ff,106,2.277777778,🌹,1.7,2,Flowers
143,1.888888889,2.166666667,#ffd4d8,106,2.555555556,📱,1.5,2,Millennials
144,2.833333333,2.166666667,#f5feff,106,2.777777778,🗣,1.7,2,Moist Talkers
145,1.722222222,1.888888889,#ffce0a,106,2.111111111,👟,2.0,2,Shoe Thieves
146,2.611111111,2.277777778,#bf0043,106,2.611111111,✨,2.0,2,Magic
147,2.277777778,2.166666667,#8c8d8f,106,2.722222222,🥩,2.1,2,Steaks
148,2.444444444,2.111111111,#780018,106,2.222222222,💋,1.6,2,Lovers
149,1.833333333,2.5,#3ee652,106,2.222222222,🏝,1.9,2,Fridays
150,2.166666667,2.777777778,#399d8f,106,2.833333333,🥧,1.8,2,Pies
151,2.222222222,1.833333333,#2b4075,106,2.666666667,🎸,1.2,2,Garages
152,2.222222222,2.888888889,#6388ad,106,2.666666667,👐,1.5,2,Jazz Hands
153,2.111111111,2.333333333,#fffbab,106,2.222222222,🌞,1.4,2,Sunbeams
154,2.555555556,2.111111111,#8c2a3e,106,2.888888889,🔥,1.4,2,Firefighters
155,2.444444444,2.055555556,#178f55,106,2.444444444,🍬,1.6,2,Breath Mints
156,2.166666667,2.777777778,#5c1c1c,106,2.666666667,🐅,2.4,2,Tigers
157,2.055555556,2.388888889,#67556b,106,2.722222222,🕵,1.2,2,Spies
158,2.333333333,2.0,#d15700,106,2.722222222,🍗,2.3,2,Wild Wings
159,2.333333333,2.111111111,#593037,106,2.888888889,🦀,2.8,2,Crabs
160,2.444444444,2.0,#64376e,107,2.722222222,🌮,1.2,2,Tacos
161,2.0,2.277777778,#9141ba,107,2.388888889,🚤,2.4,2,Dale
162,2.333333333,2.666666667,#f7d1ff,107,2.277777778,🌹,1.7,2,Flowers
163,1.888888889,2.166666667,#ffd4d8,107,2.555555556,📱,1.5,2,Millennials
164,2.833333333,2.166666667,#f5feff,107,2.777777778,🗣,1.7,2,Moist Talkers
165,1.722222222,1.888888889,#ffce0a,107,2.111111111,👟,2.0,2,Shoe Thieves
166,2.611111111,2.277777778,#bf0043,107,2.611111111,✨,2.0,2,Magic
167,2.277777778,2.166666667,#8c8d8f,107,2.722222222,🥩,2.1,2,Steaks
168,2.444444444,2.111111111,#780018,107,2.222222222,💋,1.6,2,Lovers
169,1.833333333,2.5,#3ee652,107,2.222222222,🏝,1.9,2,Fridays
170,2.166666667,2.777777778,#399d8f,107,2.833333333,🥧,1.8,2,Pies
171,2.222222222,1.833333333,#2b4075,107,2.666666667,🎸,1.2,2,Garages
172,2.222222222,2.888888889,#6388ad,107,2.666666667,👐,1.5,2,Jazz Hands
173,2.111111111,2.333333333,#fffbab,107,2.222222222,🌞,1.4,2,Sunbeams
174,2.555555556,2.111111111,#8c2a3e,107,2.888888889,🔥,1.4,2,Firefighters
175,2.444444444,2.055555556,#178f55,107,2.444444444,🍬,1.6,2,Breath Mints
176,2.166666667,2.777777778,#5c1c1c,107,2.666666667,🐅,2.4,2,Tigers
177,2.055555556,2.388888889,#67556b,107,2.722222222,🕵,1.2,2,Spies
178,2.333333333,2.0,#d15700,107,2.722222222,🍗,2.3,2,Wild Wings
179,2.333333333,2.111111111,#593037,107,2.888888889,🦀,2.8,2,Crabs
180,2.444444444,2.0,#64376e,108,2.722222222,🌮,1.2,2,Tacos
181,2.0,2.277777778,#9141ba,108,2.388888889,🚤,2.4,2,Dale
182,2.333333333,2.666666667,#f7d1ff,108,2.277777778,🌹,1.7,2,Flowers
183,1.888888889,2.166666667,#ffd4d8,108,2.555555556,📱,1.5,2,Millennials
184,2.833333333,2.166666667,#f5feff,108,2.777777778,🗣,1.7,2,Moist Talkers
185,1.722222222,1.888888889,#ffce0a,108,2.111111111,👟,2.0,2,Shoe Thieves
186,2.611111111,2.277777778,#bf0043,108,2.611111111,✨,2.0,2,Magic
187,2.277777778,2.166666667,#8c8d8f,108,2.722222222,🥩,2.1,2,Steaks
188,2.444444444,2.111111111,#780018,108,2.222222222,💋,1.6,2,Lovers
189,1.833333333,2.5,#3ee652,108,2.222222222,🏝,1.9,2,Fridays
190,2.166666667,2.777777778,#399d8f,108,2.833333333,🥧,1.8,2,Pies
191,2.222222222,1.833333333,#2b4075,108,2.666666667,🎸,1.2,2,Garages
192,2.222222222,2.888888889,#6388ad,108,2.666666667,👐,1.5,2,Jazz Hands
193,2.111111111,2.333333333,#fffbab,108,2.222222222,🌞,1.4,2,Sunbeams
194,2.555555556,2.111111111,#8c2a3e,108,2.888888889,🔥,1.4,2,Firefighters
195,2.444444444,2.055555556,#178f55,108,2.444444444,🍬,1.6,2,Breath Mints
196,2.166666667,2.777777778,#5c1c1c,108,2.666666667,🐅,2.4,2,Tigers
197,2.055555556,2.388888889,#67556b,108,2.722222222,🕵,1.2,2,Spies
198,2.333333333,2.0,#d15700,108,2.722222222,🍗,2.3,2,Wild Wings
199,2.333333333,2.111111111,#593037,108,2.888888889,🦀,2.8,2,Crabs
200,2.444444444,2.0,#64376e,109,2.722222222,🌮,1.2,2,Tacos
201,2.0,2.277777778,#9141ba,109,2.388888889,🚤,2.4,2,Dale
202,2.333333333,2.666666667,#f7d1ff,109,2.277777778,🌹,1.7,2,Flowers
203,1.888888889,2.166666667,#ffd4d8,109,2.555555556,📱,1.5,2,Millennials
204,2.833333333,2.166666667,#f5feff,109,2.777777778,🗣,1.7,2,Moist Talkers
205,1.722222222,1.888888889,#ffce0a,109,2.111111111,👟,2.0,2,Shoe Thieves
206,2.611111111,2.277777778,#bf0043,109,2.611111111,✨,2.0,2,Magic
207,2.277777778,2.166666667,#8c8d8f,109,2.722222222,🥩,2.1,2,Steaks
208,2.444444444,2.111111111,#780018,109,2.222222222,💋,1.6,2,Lovers
209,1.833333333,2.5,#3ee652,109,2.222222222,🏝,1.9,2,Fridays
210,2.166666667,2.777777778,#399d8f,109,2.833333333,🥧,1.8,2,Pies
211,2.222222222,1.833333333,#2b4075,109,2.666666667,🎸,1.2,2,Garages
212,2.222222222,2.888888889,#6388ad,109,2.666666667,👐,1.5,2,Jazz Hands
213,2.111111111,2.333333333,#fffbab,109,2.222222222,🌞,1.4,2,Sunbeams
214,2.555555556,2.111111111,#8c2a3e,109,2.888888889,🔥,1.4,2,Firefighters
215,2.444444444,2.055555556,#178f55,109,2.444444444,🍬,1.6,2,Breath Mints
216,2.166666667,2.777777778,#5c1c1c,109,2.666666667,🐅,2.4,2,Tigers
217,2.055555556,2.388888889,#67556b,109,2.722222222,🕵,1.2,2,Spies
218,2.333333333,2.0,#d15700,109,2.722222222,🍗,2.3,2,Wild Wings
219,2.333333333,2.111111111,#593037,109,2.888888889,🦀,2.8,2,Crabs
220,2.444444444,2.0,#64376e,110,2.722222222,🌮,1.2,2,Tacos
221,2.0,2.277777778,#9141ba,110,2.388888889,🚤,2.4,2,Dale
222,2.333333333,2.666666667,#f7d1ff,110,2.277777778,🌹,1.7,2,Flowers
223,1.888888889,2.166666667,#ffd4d8,110,2.555555556,📱,1.5,2,Millennials
224,2.833333333,2.166666667,#f5feff,110,2.777777778,🗣,1.7,2,Moist Talkers
225,1.722222222,1.888888889,#ffce0a,110,2.111111111,👟,2.0,2,Shoe Thieves
226,2.611111111,2.277777778,#bf0043,110,2.611111111,✨,2.0,2,Magic
227,2.277777778,2.166666667,#8c8d8f,110,2.722222222,🥩,2.1,2,Steaks
228,2.444444444,2.111111111,#780018,110,2.222222222,💋,1.6,2,Lovers
229,1.833333333,2.5,#3ee652,110,2.222222222,🏝,1.9,2,Fridays
230,2.166666667,2.777777778,#399d8f,110,2.833333333,🥧,1.8,2,Pies
231,2.222222222,1.833333333,#2b4075,110,2.666666667,🎸,1.2,2,Garages
232,2.222222222,2.888888889,#6388ad,110,2.666666667,👐,1.5,2,Jazz Hands
233,2.111111111,2.333333333,#fffbab,110,2.222222222,🌞,1.4,2,Sunbeams
234,2.555555556,2.111111111,#8c2a3e,110,2.888888889,🔥,1.4,2,Firefighters
235,2.444444444,2.055555556,#178f55,110,2.444444444,🍬,1.6,2,Breath Mints
236,2.166666667,2.777777778,#5c1c1c,110,2.666666667,🐅,2.4,2,Tigers
237,2.055555556,2.388888889,#67556b,110,2.722222222,🕵,1.2,2,Spies
238,2.333333333,2.0,#d15700,110,2.722222222,🍗,2.3,2,Wild Wings
239,2.333333333,2.111111111,#593037,110,2.888888889,🦀,2.8,2,Crabs
240,2.444444444,2.0,#64376e,111,2.722222222,🌮,1.2,2,Tacos
241,2.0,2.277777778,#9141ba,111,2.388888889,🚤,2.4,2,Dale
242,2.333333333,2.666666667,#f7d1ff,111,2.277777778,🌹,1.7,2,Flowers
243,1.888888889,2.166666667,#ffd4d8,111,2.555555556,📱,1.5,2,Millennials
244,2.833333333,2.166666667,#f5feff,111,2.777777778,🗣,1.7,2,Moist Talkers
245,1.722222222,1.888888889,#ffce0a,111,2.111111111,👟,2.0,2,Shoe Thieves
246,2.611111111,2.277777778,#bf0043,111,2.611111111,✨,2.0,2,Magic
247,2.277777778,2.166666667,#8c8d8f,111,2.722222222,🥩,2.1,2,Steaks
248,2.444444444,2.111111111,#780018,111,2.222222222,💋,1.6,2,Lovers
249,1.833333333,2.5,#3ee652,111,2.222222222,🏝,1.9,2,Fridays
250,2.166666667,2.777777778,#399d8f,111,2.833333333,🥧,1.8,2,Pies
251,2.222222222,1.833333333,#2b4075,111,2.666666667,🎸,1.2,2,Garages
252,2.222222222,2.888888889,#6388ad,111,2.666666667,👐,1.5,2,Jazz Hands
253,2.111111111,2.333333333,#fffbab,111,2.222222222,🌞,1.4,2,Sunbeams
254,2.555555556,2.111111111,#8c2a3e,111,2.888888889,🔥,1.4,2,Firefighters
255,2.444444444,2.055555556,#178f55,111,2.444444444,🍬,1.6,2,Breath Mints
256,2.166666667,2.777777778,#5c1c1c,111,2.666666667,🐅,2.4,2,Tigers
257,2.055555556,2.388888889,#67556b,111,2.722222222,🕵,1.2,2,Spies
258,2.333333333,2.0,#d15700,111,2.722222222,🍗,2.3,2,Wild Wings
259,2.333333333,2.111111111,#593037,111,2.888888889,🦀,2.8,2,Crabs
260,2.444444444,2.0,#64376e,1,2.722222222,🌮,1.2,3,Tacos
261,2.0,2.277777778,#9141ba,1,2.388888889,🚤,2.4,3,Dale
262,2.333333333,2.666666667,#f7d1ff,1,2.277777778,🌹,1.7,3,Flowers
263,1.888888889,2.611111111,#ffd4d8,1,2.555555556,📱,2.4,3,Millennials
264,2.833333333,2.166666667,#f5feff,1,2.777777778,🗣,2.6,3,Moist Talkers
265,1.722222222,2.555555556,#ffce0a,1,2.111111111,👟,2.0,3,Shoe Thieves
266,2.611111111,2.277777778,#bf0043,1,2.611111111,✨,2.0,3,Magic
267,2.277777778,2.166666667,#8c8d8f,1,2.722222222,🥩,2.1,3,Steaks
268,2.944444444,2.888888889,#780018,1,2.777777778,💋,2.1,3,Lovers
269,1.833333333,2.611111111,#3ee652,1,2.222222222,🏝,1.9,3,Fridays
270,2.055555556,2.388888889,#399d8f,1,3.833333333,🥧,1.8,3,Pies
271,2.222222222,1.833333333,#2b4075,1,2.666666667,🎸,1.7,3,Garages
272,2.222222222,2.888888889,#6388ad,1,2.666666667,👐,1.5,3,Jazz Hands
273,2.111111111,2.333333333,#fffbab,1,2.222222222,🌞,1.4,3,Sunbeams
274,2.555555556,2.111111111,#8c2a3e,1,2.888888889,🔥,1.4,3,Firefighters
275,3.333333333,2.055555556,#178f55,1,2.444444444,🍬,2.2,3,Breath Mints
276,2.277777778,3.166666667,#5c1c1c,1,2.555555556,🐅,2.4,3,Tigers
277,2.055555556,2.388888889,#67556b,1,2.722222222,🕵,1.2,3,Spies
278,2.333333333,2.055555556,#d15700,1,2.722222222,🍗,2.3,3,Wild Wings
279,2.333333333,2.111111111,#593037,1,2.888888889,🦀,1.9,3,Crabs
280,2.444444444,2.0,#64376e,2,2.722222222,🌮,1.2,3,Tacos
281,2.0,2.277777778,#9141ba,2,2.388888889,🚤,2.4,3,Dale
282,2.333333333,2.666666667,#f7d1ff,2,2.277777778,🌹,1.7,3,Flowers
283,1.888888889,2.611111111,#ffd4d8,2,2.555555556,📱,2.4,3,Millennials
284,2.833333333,2.166666667,#f5feff,2,2.777777778,🗣,2.6,3,Moist Talkers
285,1.722222222,2.555555556,#ffce0a,2,2.111111111,👟,2.0,3,Shoe Thieves
286,2.611111111,2.277777778,#bf0043,2,2.611111111,✨,2.0,3,Magic
287,2.277777778,2.166666667,#8c8d8f,2,2.722222222,🥩,2.1,3,Steaks
288,2.944444444,2.888888889,#780018,2,2.777777778,💋,2.1,3,Lovers
289,1.833333333,2.611111111,#3ee652,2,2.222222222,🏝,1.9,3,Fridays
290,2.055555556,2.388888889,#399d8f,2,3.833333333,🥧,1.8,3,Pies
291,2.222222222,1.833333333,#2b4075,2,2.666666667,🎸,1.7,3,Garages
292,2.222222222,2.888888889,#6388ad,2,2.666666667,👐,1.5,3,Jazz Hands
293,2.111111111,2.333333333,#fffbab,2,2.222222222,🌞,1.4,3,Sunbeams
294,2.555555556,2.111111111,#8c2a3e,2,2.888888889,🔥,1.4,3,Firefighters
295,3.333333333,2.055555556,#178f55,2,2.444444444,🍬,2.2,3,Breath Mints
296,2.277777778,3.166666667,#5c1c1c,2,2.555555556,🐅,2.4,3,Tigers
297,2.055555556,2.388888889,#67556b,2,2.722222222,🕵,1.2,3,Spies
298,2.333333333,2.055555556,#d15700,2,2.722222222,🍗,2.3,3,Wild Wings
299,2.333333333,2.111111111,#593037,2,2.888888889,🦀,1.9,3,Crabs
300,2.444444444,2.0,#64376e,3,2.722222222,🌮,1.2,3,Tacos
301,2.0,2.277777778,#9141ba,3,2.388888889,🚤,2.4,3,Dale
302,2.333333333,2.666666667,#f7d1ff,3,2.277777778,🌹,1.7,3,Flowers
303,1.888888889,2.611111111,#ffd4d8,3,2.555555556,📱,2.4,3,Millennials
304,2.833333333,2.166666667,#f5feff,3,2.777777778,🗣,2.6,3,Moist Talkers
305,1.722222222,2.555555556,#ffce0a,3,2.111111111,👟,2.0,3,Shoe Thieves
306,2.611111111,2.277777778,#bf0043,3,2.611111111,✨,2.0,3,Magic
307,2.277777778,2.166666667,#8c8d8f,3,2.722222222,🥩,2.1,3,Steaks
308,2.944444444,2.888888889,#780018,3,2.777777778,💋,2.1,3,Lovers
309,1.833333333,2.611111111,#3ee652,3,2.222222222,🏝,1.9,3,Fridays
310,2.055555556,2.388888889,#399d8f,3,3.833333333,🥧,1.8,3,Pies
311,2.222222222,1.833333333,#2b4075,3,2.666666667,🎸,1.7,3,Garages
312,2.222222222,2.888888889,#6388ad,3,2.666666667,👐,1.5,3,Jazz Hands
313,2.111111111,2.0,#fffbab,3,2.277777778,🌞,1.4,3,Sunbeams
314,2.555555556,2.111111111,#8c2a3e,3,2.888888889,🔥,1.4,3,Firefighters
315,3.333333333,2.055555556,#178f55,3,2.444444444,🍬,2.2,3,Breath Mints
316,2.277777778,3.166666667,#5c1c1c,3,2.555555556,🐅,2.4,3,Tigers
317,2.055555556,2.388888889,#67556b,3,2.722222222,🕵,1.2,3,Spies
318,2.333333333,2.055555556,#d15700,3,2.722222222,🍗,2.3,3,Wild Wings
319,2.333333333,2.111111111,#593037,3,2.888888889,🦀,1.9,3,Crabs
320,2.444444444,2.0,#64376e,4,2.722222222,🌮,1.2,3,Tacos
321,2.0,2.277777778,#9141ba,4,2.388888889,🚤,2.4,3,Dale
322,2.333333333,2.666666667,#f7d1ff,4,2.277777778,🌹,1.7,3,Flowers
